Text,Language
i got a near-perfect score the word stupendous has classical latin roots from the word which means.,English
to be stunned so stupendous is used to describe something that is stunningly good for example she looks stupendous in that dress or what a stupendous view from this balcony or i'm reading this stupendous book that i can't put down how about you go and tell.,English
your friends that is this stupendous channel for students and some other words that you can use instead of stupendous are incredible fantastic or exceptionally good ok so before we continue with the balanced five words on this video remember to put a comment under this video.,English
to tell me which of these ten words was your favorite smart word number six is in a fix in a fix means to be in a troublesome situation for example boy i'm in a fix because i've made plans with two different friends for this evening.,English
i've lost my phone and i'm in a fix or our bus broke down this morning and i'm in a fix my friend always turns to me for help when he's in a fix and when the going is good he forgets about.,English
me so the next time you get math homework from school for example and if you've left your math book in school then you can tell your friends that you're in a real fix now you may think that the word fix has something to do with repairing something.,English
but no in a fix means to be in a troublesome situation other words that you can use instead of in a fix are i'm in a soup or i'm in a mess or i'm in a spot of bother or just i'm in a spot smart word number 7 is flummox flummox means to confuse someone.,English
so much that they forget what to do now confused tends to be an overused word so instead of that why don't you use flummox for example the boy looked completely .flummoxed when the teacher asked him a question in class or the dog was flummoxed looking at his own reflection in the mirror or the tourist was flummoxed by the different customs that.,English
he encountered during his travels or in an interview when she was asked why should we hire you she looked completely flummoxed so next time if you get confused on any questions for example in an examination then you.,English
can always say that because i hadn't prepared very well for the exam i was flummoxed by some of the questions other words that you can use instead of flummoxed are bewildered puzzled or perplexed smart word number eight is rendezvous rendezvous rendezvous.,English
is a very french way of saying meeting or date for example i have a rendezvous with my friends over lunch on saturday or i'm planning to rendezvous with my friends at the mall for movies rendezvous can be used both as a noun or as a verb for example.,English
i have a rendezvous with my friends this evening or i'm going to rendezvous with my friends tomorrow.,English
in france earlier rendezvous was used by the army to indicate a meeting place for the troops now there's something slightly exciting and secretive about the word rendezvous even now so while you can use rendezvous for any meeting.,English
in general but it won't be very appropriate for an official meeting so if you have a date perhaps you can certainly call that a rendezvous smart word number 9 is obtuse obtuse obtuse is an insult you would use it when you're trying to call someone dumb or unintelligen.t or dim-witted now you've heard the word obtuse in geometry obtuse angle and acute angle so an obtuse angle is an angle greater than 90 degrees but less than 180 degrees.,English
and an acute angle is this sharp angle less than 90 degrees so acute as a word is used to denote sharp and therefore also mentally sharp and obtuse is denoting blunt and .therefore also a little slow in the mind so example sentences with obtuse are the man was so obtuse that he gave away his password to a fake caller or the obtuse child.,English
wasn't able.,English
to answer a single question on the test or the obtuse man had a hard time understanding even basic instructions now suppose in your situation in daily life your boyfriend or your girlfriend is angry with you and you don't know why so you can.,English
say to them maybe i'm being obtuse but i don't know why you're so upset smart word number 10 is sluggish sluggish sluggish means to move in  slow manner to be kind of slower paced.,English
than usual to look a bit tired and lacking.,English
in energy example a heavy lunch makes me very in the afternoon sluggish has roots from the word which means a slow person and a slug is an animal that moves around really very slowly like a snail examples.,English
the economy has been very sluggish this year or the match picked up after a sluggish start.,English
or business has been sluggish this quarter you can use it in your daily life if you're feeling very tired one day you can tell your mom or you can tell.,English
your friends i'm feeling very sluggish.,English
today i could do with a energy drink other words that you can use in place of sluggish could be lethargic or dragging my feet so those were the 10 smart words and before.,English
i give you that secret tip to sound very fluent i want to remind you that in.,English
case you're looking for smart words to use on a telephone call then i'm putting a link to a video.,English
down in the description box for that and now the secret tip the secret tip to sound fluent is to use not more than one smart word or sentence i know sometimes.,English
we get very excited because.,English
we've learnt a whole lot of these smart words and we tend to stuff two three four of them in one sentence that doesn't sound natural.,English
so one at a time be sure that you're pronouncing .the word in the right manner go on to google and type the word and in the search right on top you'll see a little speaker icon click on that speaker.,English
and hear the pronunciation once or twice.,English
and you're ready to go and if you've liked this video don't forget to give us a thumbs up with a comment.,English
for me under it telling me which of these 10 words what's your favorite and also.,English
if you haven't already press the subscribe button and the bell icon right next to it and happy watching.,English
hey guys welcome to my channel in this video.,English
i'm gonna give you top 50 english phrases that you can use in your everyday life.,English
so if you are just about to embark on your journey.,English
"to an english-speaking country, you can totally use this.",English
phrases if you have been learning english for a while and you want to resume learning.,English
this is the best video to start with so let's go 50 phrases in english in hopefully 10 minutes.,English
phrase number one this is another way to ask.,English
how are you?,English
how is it going?,English
how's it going?.,English
so you meet someone and you time how is it going?.,English
phrase number two when you haven't seen somebody for a while you tell him a long time no see so that means that you haven't seen this person maybe weeks or months a long time no see phrase number.,English
three if you want to ask you what have you been doing.,English
you ask what have you been up to so what was going on in your life?.,English
what have you been up to raise them before if everything is going?,English
well you can just answer can't complain everything is really cool.,English
"can't complain next phrase somebody tells you something and you haven't really mentioned it in the conversation like they guess somehow that you have a new job, and you ask him.",English
how do you know?.,English
where did you get the news like how do you.,English
know if somebody tells a cool joke you can tell that's a good one.,English
that's a great joke so the phrase is that's a good one.,English
if you want to thank somebody you can say it's very kind of you thank you so much for doing that that's very kind of you it is very kind of you if somebody.,English
"was trying to help you, but couldn't reach the result you can say.",English
"thank you anyway it doesn't matter, but thank you anyway.",English
thank you for your effort.,English
"no thank you anyway, and another phrase that i use in my email sometimes when i haven't asked for a person.",English
i ask and then i say in the end.,English
"thank you in advance, which means that i really hope that you're gonna.",English
do it some thanking you in advance.,English
"thank you in advance if somebody made a mistake, and he's really upset about it.",English
you can just say no worries.,English
"don't worry no worries, which means don't worry about it.",English
it's fine.,English
no worries imagine you came home and there are all of your friends sitting on your couch.,English
and you're like what's going on in here like what are you doing here?.,English
what is going on if you didn't catch something or it didn't understand the person you can always ask did i get you right?.,English
and then go ahead and explain where you got did i get you right?.,English
if you ask somebody not to be upset not to cry you can say don't take it to heart.,English
don't take it to heart like seriously don't be so upset don't take it to heart.,English
another way to ask if you didn't catch a part of a phrase you can say i didn't catch the last word.,English
i'm sorry.,English
can you repeat it because i didn't catch the last word if he wants somebody to repeat the whole phrase again.,English
you can say sorry.,English
i wasn't listening because maybe you were busy.,English
"maybe you were talking on the phone and somebody was talking to you, and you're like.",English
oh my god.,English
sorry i wasn't listening.,English
can you repeat it?.,English
i'm sorry.,English
i wasn't listening another phrase that i use all the time.,English
it doesn't matter like don't worry if you drop your coffee all over me.,English
it's like it doesn't matter.,English
i'll be fine.,English
i'm going to laundry anyway.,English
it doesn't matter if you want to wish somebody luck.,English
and i always do that you can say fingers crossed and you cross the fingers like that.,English
fingers crossed.,English
another phrase that americans use is oh bad that explains it and.,English
"the situation is you didn't get something and then you get an extra effect, and you get it.",English
and you're like oh that that explains it that explains it.,English
another way to tell the person to not be upset is you can say things happen like it's okay.,English
things happen do not be upset if you don't have the name of a person you want to talk to him.,English
you can say sorry to bother you you know you see.,English
somebody's busy you can always say sorry to bother you and then you can go ahead and ask.,English
"sorry to bother you.if you are in the middle of something in somebody's asking you something you can say oh.you're in the middle of something and somebody somebody's asking you to do something you say, i'm sorry.",English
i'll be with you in a minute i'll be with you in and then you resume doing something and you say where were we.,English
like when did we stop where were we and you have to repeat it because what it's the sound that somebody some people mistake with .,English
so this is a great way to practice where were we again if you're in the middle of a conversation?,English
and you didn't get what the other person was saying you can say you were saying and with a question mark.,English
which means which prompts the person to repeat once again?,English
you were saying .if somebody got a job of his dreams of whatever you can say lucky you or somebody got into the university of their dreams like lucky you this is a way of congratulating the person lucky you or like just emphasizing that he's lucky lucky you another way to say that you're really angry is to say i freaked out like i was so angry i .freaked out this is super angry.,English
"oh, this is like almost crazy.",English
i freaked out another phrase that native speakers use is good for you and this could be both positive and negative when you say i got promoted and if they say good for you like congratulations and sometimes if you say like i'm leaving this place.,English
they're like good for you it would be better without you and this is a negative meaning so really listen to the intonation.,English
if something surprises you you can also say you gotta be kidding me like oh my god.,English
i cannot believe it you gotta be kidding me to tell somebody to smile and to be happy you can always say cheer up cheer up.,English
if you want somebody just sound like crying and complaining about something that is not happening you can say come i'm you can do it i?,English
come on.,English
you can do it you can pass the toefl you can pass the gmat you will get it come on.,English
"you can do it if somebody is doing really well, you can tell them keep up the good work keep up the good work like be as good as you are and keep up the good work continue being another phrase is colloquial, and this is what americans say.",English
that's lit which means that's amazing many americans said in california.,English
"oh that's lit and you probably heard it in songs that's lit if somebody is successful after failures, so you can say there you go i told you you're gonna make it there you go if somebody's asking you if you're tired and you want to say you're not tired at all you can say not a bit nah.",English
i want to continue i'm not tired not of it when somebody is asking you are you sure and you're pretty sure you can say there is no room for that?,English
there is no room for doubt in america if you want to sms somebody or send them a message you say text to text so i'll text you means i will send you a message through whatsapp or a telegram or messenger of whatever using i'll text you again to cheer somebody up to tell them to not be upset you can say it's not worth it like why are you crying?,English
it's not worth it.,English
you're so much better than the problem you are crying about it's not worth your tears.,English
it's not worth it i personally love the phrase you rock which means you're amazing.,English
oh my god.,English
you rock you rock?,English
"no, you've done an amazing job.",English
"you rock if somebody's not working really well, and you want them to work harder you can say you should go an extra mile which means like work harder you should go an extra mile .",English
another way to say the very same thing you can say step up your game like work harder work better step up your game.,English
if somebody's crying and doesn't want it.,English
it sinks you say pull yourself together like literally take yourself and pull yourself together stop working stop crying pull yourself together.,English
hey calm down yourself together another phrase that .,English
i love you sold me because sometimes people describe their trip or somebody they bought and they describe it is so well.,English
"and they're like i want to buy the same thing and i tell them you sold it you sold me i wouldn't buy this alright, you sold me if you're not interested in the conversation.",English
you're like sitting you can say i could not care less this is so boring.,English
i'm not interested.,English
i couldn't care less if somebody's asking you something and this is a really easy decision for you like somebody tells you take my 1 million dollars and you say this is a no-brainer.,English
i'll take it.,English
this is a no-brainer means it's a really easy decision for you if you've done something wrong and you admit it you can say i screwed up yes guys.,English
i know.,English
i'm sorry.,English
i screwed up.,English
this is my mistake.,English
i screwed up i screwed it up if you want somebody to work instead of me you can say.,English
can you cover me like can you work instead of me while i'm seeing my friend.,English
can you cover me it's time to leave and guys i'd better be going which means i should go already.,English
it's you know.,English
it's actually 1 9 p.m.. right now.,English
i'd better be going another way to say goodbye.,English
"i can say take care, which means take care of yourself.",English
i'll see you later.,English
take care.,English
"i don't know what day is it when you're watching this video, but if it's friday for example weekend.",English
you can say thank heavens is friday or think heavens said saturday weekend discovery.,English
i'm so happy this was it guys 50 phrases in english let me know if this was helpful by liking this video and commenting below if you know any more cool phrases.,English
that would be great there's a red button over there somewhere.,English
hello and welcome.,English
in this video i will give you 100 common and very useful sentences that you can use in conversation.,English
when you hear a sentence practice saying it after me.,English
try to copy my pronunciation exactly including the tone of voice that i use.,English
alright let's begin.,English
basic greetings how's it going?,English
how are things?,English
what's up?,English
nice to meet you.,English
"long time, no see.",English
how have you been?,English
"great, thanks.",English
how about you?,English
not much.,English
the usual.,English
i've got to get going.,English
it was a pleasure meeting you see you later.,English
stay in touch.,English
asking for information.,English
could you tell me what this word means?,English
would you happen to know where the library is?,English
hesitating.,English
that's a good question.,English
let me see.,English
let me think for a moment.,English
asking for repetition.,English
excuse me?,English
"sorry, i didn't catch that.",English
would you mind repeating that?,English
"can you speak a little more slowly, please?",English
"saying ""i don't know"".",English
i'm afraid i have no idea.,English
"can't help you there, sorry.",English
beats me.,English
opinions.,English
what do you think about that?,English
what are your views on this?,English
i think that's a good idea.,English
i honestly don't think it's going to work.,English
"as far as i'm concerned, this is the best restaurant in town.",English
avoiding a question.,English
i don't have an opinion on the matter.,English
let me get back to you on that.,English
i'm not at liberty to say.,English
agreeing and disagreeing.,English
i couldn't agree more.,English
you're absolutely right.,English
i agree with you 100%.,English
you hit the nail on the head.,English
i'm not sure i agree.,English
i'm afraid i disagree.,English
i think you're mistaken.,English
interrupting politely.,English
sorry to interrupt you.,English
can i stop you there for a moment?,English
do you mind if i jump in here?,English
go ahead.,English
sure go on.,English
let me finish.,English
hold on for a moment.,English
suggestions.,English
what do you say we go to the movies?,English
how about having pizza for dinner tonight?,English
that would be great.,English
sounds good to me.,English
i'm not sure about that.,English
"no, i don't think so.",English
making plans.,English
what are you doing tonight?,English
got any plans for tomorrow?,English
are you free next saturday?,English
do you want to do something this weekend?,English
"sure, what do you have in mind?",English
"i'm free all weekend, let's do something.",English
"no, sorry, i've already mad some plans.",English
i'm kind of busy tomorrow.,English
i'd love to do something but i can't.,English
permission.,English
do you mind if i use your cell phone?,English
would it be okay if i took the day off tomorrow?,English
"yes, please do sure, go ahead.",English
"no, not at all.",English
"unfortunately, i have to say no.",English
i'd rather you didn't.,English
i'm afraid i do.,English
making requests.,English
"could you pass me the salt, please?",English
would you mind lending me some money?,English
i was wondering if yo could help me with this.,English
"sure, no problem.",English
"yeah, of course.",English
i'd be glad to help.,English
"sorry, i can't right now.",English
i'm afraid i can't.,English
making offers.,English
can i get you a glass of water?,English
how about some ice cream?,English
would you like me to give yo a ride home?,English
"yes, please.",English
"that would be great, thanks.",English
i'm ok but thanks for offering.,English
"no, i'm good, thanks.",English
thanking people.,English
thanks a million.,English
cheers i really appreciate it.,English
that's very kind of you.,English
i can't thank you enough.,English
it's nothing.,English
don't mention it.,English
any time.,English
my pleasure.,English
asking someone to wait.,English
"can you hold on  moment, please?",English
hang on one second.,English
bear with me just a moment.,English
i'll be right with you.,English
apologizing.,English
i'm really sorry about that.,English
please accept my apologies.,English
don't worry about it.,English
no worries.,English
"alright, if you want more lessons on common sentences and phrases let me know in the comments section below.",English
also if you liked this video give it a thumbs up by hitting the like button and remember to subscribe to this channel by clicking the subscribe button to get my latest lessons right here on youtube.,English
happy learning and i will see you in another lesson soon.,English
the golden bread once upon a time in a tiny village there lived a woman named marion.,English
with her only daughter narcisa marion was extremely humble and sweet narcisa however was completely the opposite you see she was beautiful beyond words she was like a living.,English
doll and the most amusing part is she loved herself to no ends narcisa would you.,English
help me bake the bread huh no way mom the flour maids all my bright and sparkly eyes.,English
narcisa would you help me plant these seeds what why would i do that what have i got all that dirt on my lovely fingers worse what if it went onto my face well that was the problem with narcisa.,English
she thought herself too great to do any work many suitors came to ask for narcissus hand in marriage.,English
since her beauty was known far and wide but she rejected them all very rudely why did you send those men away yesterday they seemed nice you can't be serious mom one of them.,English
had such small eyes almost like a bird's and the other had a huge nose i wouldn't want to be near him.,English
when he sneezed oh oh and the last stop no i don't want to hear any more all i could see was that those men were really nice my dear you must know that beauty.,English
isn't everything mother you have to realize i deserve someone like a prince or a knight.,English
oh dear one night when she was sleeping her mother sat at her side watching her.,English
my dear child you are so beautiful and lovely but you do not care about anything other than your beauty.,English
at that moment narcissus started to laugh in her sleep her mother was extremely surprised how nice she must be having a really funny dream the next morning when narcissus.,English
l woke up she was all smiles and giggles here sweetheart tell me what did you dream about.,English
last night well mom it was such an amazing dream you know there was this prince who came up to me.,English
and said that he wanted to marry me he had come in a golden carriage and he was dressed from top to bottom and gold as well what a silly dream.,English
and you know the best part of it was when i was in my wedding dress which was of gold too of course everyone was staring at only me narcisa there is nothing amazing about that dream.,English
it was a very egotistical dream mom you don't know what you're saying that dream has made me realize that i need food much grander than the type i eat here at home bread made of gold.,English
just think of that poor narcissus mother was so worried about her daughter and how.,English
she would live her life that day two friends came to visit narcissus mother they were mellie and terry the three of them had been friends for ages but terry and ellie had a secret both of them.,English
were magical beings something that narcisse's mother knew nothing about terry melli oh it's so good to see you it's been very long hasn't it how have you been i have been very good i would have been better if only if only what if only my daughter narcisa was a little more understanding marian told mellie and terry all about narcisa and how she was worried for her she wants to eat bread made of gold what do i do with her well maybe if her dream comes true.,English
that would be wonderful wouldn't it well no matter i guess in time she will grow to learn let's talk about something else.,English
now later on mellie and terry waved goodbye to their old friend and went away smiling to each other secretively that night both mother and daughter.,English
got ready for bed mother i really hope my dream comes true you know oh narcisa the next day as narcisa and her mother were outside in their garden a beautiful.,English
golden carriage came riding up to them it was studded in gems and diamonds and looked extremely stunning.,English
as it stopped a handsome man came out of it and looked at narcisa she was completely taken aback at how handsome he was my dream is actually coming true umm.,English
what hello i have come here to ask for narcissus hand in marriage but how do you know her name and who are you.,English
i am terrence the angel of good fortunes your daughter's name and beauty is known throughout the world here i've brought you a gift what but you hardly know him you can't go with him.,English
oh silly he's rich and handsome what more could i want terrence i accept your proposal.,English
and with that she got into his carriage and without even saying goodbye to her mother rode off with the angel as they were travelling the carriage suddenly entered a magical portal there it traveled through a stormy area the carriage bumped around tremendously and narcissa.,English
was very scared don't worry my dear all of this will soon be over just as he said this the carriage went through another portal and reached the driveway.,English
of a huge and magnificent golden castle narcisa was amazed at all the beauty she saw i knew i deserve so many riches i knew you'd like it anything you want you will find here from the prettiest of dresses to the tastiest of foods all of it in my palace well speaking of food i'm really hungry after that ride i'm starving can i have any of that tasty food of course here meat smelly melissa she will get you whatever you want i've heard so much about you you poor dear you're hungry aren't you come let's go to the dining table and i'll get you some food oh thank you they went into the dining room and there on the table was the most astounding food narcisa had ever seen amazing that's because it is the jams are made.,English
of rubies the salads of emeralds and the bread over there is made of gold golden bread how lovely this jam will look and taste lovely with the bread she took a slice with the.,English
ruby jam on it and took a huge bite this is so hot i can't eat this well it is bread made of gold and the finest too but if you can't eat it should i get you silver bread silver huh why don't you eat.,English
something else but i want normal bread bread which i can eat don't you have that look so wife-to-be of my sire shell it's cold you must only eat the best narcis l looked at all the food.,English
but was heartbroken for everything there was inedible she soon started to cry i don't want this but the food is really good.,English
here try some golden potatoes they're really good and after you're married to me.,English
you'll have to eat all of this i thought you liked fancy things no i don't want to marry you i want to go home.,English
to my mother let me go home melissa and terrence looked at each other and winked well.,English
if that's really what you want then i'll take you home terrence took the crying and unhappy.,English
narcis at home in the carriage she started to think deeply about the choices she had made when she reached home.,English
she ran to hug her mother who was sitting in the house sad nor sister o my sweet daughter i thought i'd never see you again.,English
oh mom i love you so much and you were right looks and riches aren't everything the gold bread was useless as i couldn't eat it and the man even though.,English
he was handsome he didn't care for me at all but my dear do you realize that that is exactly the way you treated others i know i'm so sorry for the way i acted mom oh no it's alright since you've seen.,English
what your mistake was come let's feed you something nice from that day onwards.,English
narcisa changed her ways she struggled at first but slowly and patiently she started to become a lot nicer one day mellie and terry came to meet marian again oh hello you two so tell us marian.,English
how's narcissism now marian told them both everything that had happened and she's changed so much from that time.,English
has she i guess she wouldn't want any more gold bread now huh you know.,English
terry you actually look a little like that angel though what am i seeing how could you be him you two are so nice,English
"Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références » En pratique : Quelles sources sont attendues ?",French
Comment ajouter mes sources ?,French
"Cette page ou section est en train d'être traduite en français à partir de l'article Wikipédia Nature rédigé en anglais, raison pour laquelle il peut y avoir des lacunes dans le contenu, des erreurs syntaxiques voire du texte non traduit.",French
Vous pouvez aider au développement de Wikipédia en continuant la traduction à partir de l'article original.,French
"Le mot nature est un terme polysémique (c’est-à-dire qu'il a plusieurs sens) : il peut signifier la composition et la matière d'une chose (ce qu'elle est, son essence), l'origine et le devenir d'une chose, l'ensemble du réel indépendant de la culture humaine, ou l'ensemble des systèmes et des phénomènes naturels[1].",French
"Au sens commun, la nature peut regrouper : Face au constat des répercussions négatives des activités humaines sur l'environnement biophysique et la perte accélérée de naturalité et de biodiversité au cours des dernières décennies, la protection de la nature et des milieux naturels, la sauvegarde des habitats et des espèces, la mise en place d'un développement durable et raisonnable et l'éducation à l'environnement sont devenues des demandes pour une grande partie des citoyens de la plupart des pays industrialisés.",French
"Les principes de l'éthique environnementale, de nouvelles lois et des chartes de protection de l'environnement fondent le développement d'une idéologie culturelle humaine en relation avec la biosphère.",French
"Si l'étymologie du terme « nature » est relativement bien connue, l'évolution de son sens est beaucoup plus complexe à déterminer, et ce terme a connu des significations très différentes voire contradictoires pendant son histoire[1].",French
Le mot nature est attesté en français depuis 1119[2].,French
"Il vient du latin natura, qui désignait « le cours des choses ; le caractère naturel, la constitution, la qualité ; l'univers » et littéralement « naissance ».",French
"Le terme vient lui-même du verbe nascor (« naître »), ici au supin[1].",French
"Si ce terme signifie essentiellement le « caractère inné » au IIe siècle avant notre ère, le latin classique, notamment par le biais de Cicéron, va l'enrichir de tous les sens du terme grec phusis, beaucoup plus complexe et obscur et dont il devient la traduction en philosophie latine[1].",French
"Phusis vient du verbe phuein, dérivé de la racine phu qui désigne la croissance végétale.",French
"Phuein, c'est l'éclosion, ce qui se manifeste en révélant ce qui était contenu dans la semence ; ainsi, le phuein, c'est le propre de la plante qui croît à partir de soi-même, qui a son centre de changement à l'intérieur et non pas à l'extérieur, comme une pierre.",French
"Pour Merleau-Ponty, cette parenté de la phusis et du végétal fait que « est nature ce qui a un sens, sans que ce sens ait été posé par la pensée.",French
C'est l'autoproduction d'un sens »[3].,French
"Cette étymologie indique que les anciens grecs et romains avaient une conception dynamique, « vitaliste » de la nature[1], conception selon laquelle le vivant n'est pas réductible aux lois physico-chimiques de la matière[4].",French
"Pour les grecs de l'antiquité, Aristote en particulier, la nature est une puissance d'engendrement des êtres, mais cette puissance n'est pas séparée des choses elles-mêmes, elle leur est « immanente » : « chaque être naturel a en soi-même un principe de mouvement et de repos »[5].",French
"Aristote énumère cependant plusieurs définitions différentes de la nature, et introduit une opposition entre le naturel et l'artificiel : le naturel est ce qui est produit par la phusis, ce qui existe par soi-même, l'artificiel est ce qui est produit par la technè, par l'action et le travail (d'Hommes, d'animaux ou de dieux).",French
C'est cette opposition qui sera plus tard reprise dans la philosophie romaine par Cicéron à travers l'opposition nature/culture[1].,French
"Cette première approche dynamique et vitaliste s'est estompée au XVIIe siècle où le mot devient synonyme d'univers matériel, réglé par des lois[1].",French
"C'est ainsi que Fontenelle, après Descartes, dira que « la nature est en grand ce qu'une montre est en petit »[6].",French
"Mais si cette vision mécaniste de la nature reste encore largement répandue, elle a été critiquée par la génération romantique au début du XIXe siècle, et notamment par Engels dans son Anti-Dühring[7] : pour lui il faut concevoir la nature, aussi bien sur terre que dans l'univers comme un processus évolutif, historique et dialectique : rien dans la nature ne reste identique à soi, tout change et se transforme en permanence.",French
"Cette nouvelle approche redevenue dynamique s'illustrera pendant tout le XIXe siècle, notamment à travers Darwin qui instaure, dans la foulée de Buffon, une approche historique de la nature, qui n'est dès lors plus fixe : les espèces évoluent en permanence, ainsi que les milieux dans lesquels elles vivent.",French
"Tandis que Darwin se concentre sur l'histoire des êtres, celle des roches sera illustrée par Alfred Wegener, qui théorise la dérive des continents.",French
La première grande philosophie de la nature se trouve dans l'œuvre d'Aristote.,French
"Selon lui, « la nature ne fait rien en  vain », ce qui signifie que la nature est une puissance orientée vers certaines  fins.",French
L'explication  scientifique consistera donc à découvrir cette finalité.,French
"Par exemple, si l'eau monte dans un tuyau dont on aspire l'air, c'est parce que ""la nature a horreur du vide"".",French
"Selon Jan Patocka, « On peut demander si cette philosophie ne nous offre pas un cas typique d'anthropomorphisme »[8].",French
En fait Aristote pense l'action de la nature à partir du travail de l'artisan qui imprime une forme à la matière pour arriver à son but qui est de créer un objet.,French
La différence est que le travail de l'artisan reste extérieur à la matière alors que la nature agit à l'intérieur de la matière :« chaque être naturel a en soi-même un principe de mouvement et de repos »[9].,French
"Mais cette action de la nature est infiniment plus parfaite que celle de l'artisan et de sa ""techné"".« l'homme ne peut produire d'être vivant, ni d'être animé aussi parfait que les êtres de nature »[10].",French
C'est pourquoi Aristote affirme que « l'art imite la nature »[11] Cette conception finaliste de la nature a été contredite par la philosophie mecaniste développée au XVII°siècle par Descartes.,French
Selon Miguel Espinoza « le mécanisme est le squelette métaphysique de la science »[12].,French
"Dans cette philosophie, la nature n'est plus vue comme une puissance orientée vers la perfection et que l'homme devrait imiter, mais comme un univers matériel soumis à des règles   (""les lois de la nature"").",French
"Connaissant ces règles, l'homme peut alors se rendre « comme maître et possesseur de la nature » (Descartes).",French
"Cependant, cette conception réduit la nature à un statut d'objet dont les êtres humains (les sujets) pourraient disposer à leur guise.",French
L'écologie contemporaine a montré les limites de ce dualisme.,French
"Comme le dit Michel Serres nous devons modifier notre rapport à la nature : il propose dans son livre ""Le contrat naturel"" (1990) de considérer la nature comme ""un sujet de droit"" : « la nature serait ce sujet de droit avec lequel on passerait ce fameux contrat.",French
"»[13] Dans la même perspective François Flahault montre que la séparation de l'homme et de la nature remonte au dualisme platonicien et chrétien qui séparent l'âme et le corps, et il propose de s'en affranchir en prenant conscience que l'homme fait intégralement partie de la nature.",French
"Il nous faut « reconnaître à qui et à quoi nous devons la vie - et le verbe ""devoir"", ici, nous oriente vers la gratitude et le soin, nous invite à cultiver des relations d'affiliation, à assumer des responsabilités et des devoirs -.",French
"» [14] Dans l'usage commun et religieux, la nature a longtemps été présentée dichotomiquement en Europe, comme ce qui est autour de l'Homme, qui n'est pas lui (opposé à la culture), et qui est animé par des processus ou des forces qui lui échappent[réf.",French
"souhaitée] vu de façon horizontale, puis lors du Moyen Âge et avec l'arrivée de la pensée industrielle, une hiérarchie entre l'homme et la nature s'impose, l'homme est au-dessus de la nature, jusqu'à arriver à un stade d'opposition à la nature[15].",French
"À présent, avec les progrès scientifiques, il est généralement considéré comme acquis que l'espèce humaine soit parmi d'autres dans la nature.",French
"Les sciences et notamment l'écologie montrent que la nature (co-)évolue dans le temps et l'espace, selon des dynamiques complexes, incluant celles de l'évolution des espèces, la sélection naturelle, et que les forces animées ou détournées par l'être humain ou d'autres espèces sont devenues capables de modifier les grands processus naturels planétaires.",French
"Dans l'interprétation des philosophies animistes ou religieuses, la nature est présentée comme manifestant l'équivalent d'une volonté autonome ou d'un sens déterminé.",French
"Ainsi, celle-ci se vengera de ce qu'on lui fait de mal, ou au contraire rendra au centuple le bien qu'on lui fait.",French
Certains actes sont considérés comme contre nature.,French
"Ces expressions laissent penser que des cultures de l'homme contemporain accordent une valeur particulière à la Nature, d'ordre éthique, d'ordre moral ou d'ordre naturel, qu'il s'y inclut ou non.",French
La nature est perçue par les sens et est pensée de façon variable selon les espèces et les individus inclus[réf.,French
souhaitée].,French
"Du point de vue philosophique, la distinction se fait simplement entre la nature, la nature des espèces et la représentation de la nature humaine (Homo sapiens).",French
"Le raisonnement confine, limite et précise donc par défaut la capacité humaine et l'envergure à accorder, à reconnaître et à considérer à la valeur de l'exercice.",French
La représentation de la « nature humaine » correspond logiquement aux philosophies humaines existantes et aux cultures humaines possibles.,French
"La « philosophie de la nature » est un sujet d'apparence inexplorable par l'être vivant, malgré de multiples miroitements perceptibles.",French
"D'une certaine façon, on peut dire que le christianisme, suivant la tradition biblique et judaïque, a désacralisé la nature, qui fut alors associée à celle d’une transcendance divine, extérieure à l'homme[1].",French
Le mot même de « nature » n'apparaît jamais dans la Bible[1].,French
"Dans la Genèse, la nature est présentée dans le récit de la Création, comme l'œuvre d'un Dieu créateur : La Création se poursuit tout au long de « six jours ».",French
"Le sixième jour, Dieu crée l'homme et la femme : La nature est alors présentée comme un accès à l’Écriture sainte.",French
"Actuellement, pour les catholiques, la nature est l'appellation laïque de création.",French
"Saint Augustin, reprenant la tradition philosophique grecque, voit dans les créatures deux types de nature : l'essence (essentia) et la substance (substantia).",French
"Pour lui, « même le plus ignorant lit dans le monde ».",French
Les clés d'accès aux Écritures sont alors les quatre sens de l'Écriture.,French
La littérature allégorique du Moyen Âge faisait appel à plusieurs de ces sens pour l'interprétation des textes.,French
"Alain de Lille (1114-1203) écrivit par exemple deux poèmes (Anticlaudianus et De planctu Naturae) dont le principal personnage est « Nature », qui est une figure emblématique des lois du monde créé par Dieu.",French
"Il précise que ces poèmes doivent être lus à trois niveaux : au sens littéral (pour l'entendement puéril), au sens moral, ou au sens allégorique[16].",French
"Une autre illustration de ces représentations de la nature se trouve dans la série des tapisseries de La Dame à la licorne, qui est toute chargée d'allégories[17].",French
"L’idée sous-jacente est que la nature ne fait rien au hasard, mais est soumise à un commandement divin.",French
"Le transcendantalisme, né au XIXe siècle, suit le principe selon lequel la nature est un être divin, apprenant à l'homme la raison et la beauté[1].",French
Les transcendantalistes trouvent dans la nature une source d'expériences et d'aventures indispensables au développement intellectuel et spirituel de l'Homme.,French
Cette idée prévaut jusqu’à l'apparition de la conception moderne de la science (Galilée).,French
